step,loss,learning_rate,examples_seen,group_examples
51,0.13054081028889783,1.9190609107272073e-06,13056,256
52,0.1350921757515614,1.914698076767734e-06,13312,256
53,0.10507826220025093,1.9102265617645637e-06,13568,256
54,0.2456477090600283,1.9056469622195561e-06,13824,256
55,0.21046822026982823,1.9009598890530905e-06,14080,256
56,0.14129680121672716,1.8961659675225698e-06,14336,256
57,0.13798800453747262,1.8912658371390107e-06,14592,256
58,0.15272619873351764,1.8862601515817325e-06,14848,256
59,0.10199700544887758,1.8811495786111564e-06,15104,256
60,0.11798405779476795,1.8759347999797256e-06,15360,256
61,0.11245125406231438,1.8706165113409591e-06,15616,256
62,0.13564038034915127,1.8651954221566527e-06,15872,256
63,0.152743750961001,1.8596722556022337e-06,16128,256
64,0.12313660063918519,1.8540477484702923e-06,16384,256
65,0.12817364522746422,1.8483226510722907e-06,16640,256
66,0.17455524013590695,1.842497727138472e-06,16896,256
67,0.17645713577688182,1.836573753715979e-06,17152,256
68,0.14387290797417673,1.8305515210651952e-06,17408,256
69,0.15272625846686605,1.8244318325543226e-06,17664,256
70,0.09090206147827695,1.8182155045522156e-06,17920,256
71,0.1259217591221311,1.8119033663194723e-06,18176,256
72,0.16931856989028615,1.8054962598978143e-06,18432,256
73,0.09292848154612265,1.7989950399977571e-06,18688,256
74,0.19885056347378383,1.792400573884591e-06,18944,256
75,0.15372805538529022,1.7857137412626875e-06,19200,256
76,0.15705669398894795,1.7789354341581474e-06,19456,256
77,0.12681479105133509,1.7720665567998026e-06,19712,256
78,0.1722174114870434,1.765108025498593e-06,19968,256
79,0.14623735879820332,1.75806076852533e-06,20224,256
80,0.12695749308235005,1.7509257259868627e-06,20480,256
81,0.12620586492795383,1.7437038497006722e-06,20736,256
82,0.13669711610702606,1.7363961030678926e-06,20992,256
83,0.16529935072575874,1.7290034609447983e-06,21248,256
84,0.11450603551525429,1.7215269095127542e-06,21504,256
85,0.15306350202536656,1.7139674461466605e-06,21760,256
86,0.16618765141945424,1.7063260792819014e-06,22016,256
87,0.12020663117079522,1.698603828279821e-06,22272,256
88,0.10083756796835885,1.6908017232917382e-06,22528,256
89,0.10077866001677549,1.6829208051215255e-06,22784,256
90,0.12606929805807532,1.6749621250867652e-06,23040,256
91,0.11756754043759088,1.6669267448785018e-06,23296,256
92,0.11148879444346527,1.6588157364196142e-06,23552,256
93,0.14199033539259864,1.6506301817218188e-06,23808,256
94,0.084899095789023,1.6423711727413308e-06,24064,256
95,0.11360167557332446,1.634039811233194e-06,24320,256
96,0.11757247834192297,1.6256372086043091e-06,24576,256
97,0.19127202074609784,1.6171644857651693e-06,24832,256
98,0.13691763730914497,1.6086227729803326e-06,25088,256
99,0.1701176453359241,1.600013209717642e-06,25344,256
100,0.1512243070200876,1.591336944496221e-06,25600,256
101,0.2101939264553483,1.5825951347332606e-06,25856,256
102,0.16437103118708762,1.5737889465896203e-06,26112,256
103,0.12395515690283077,1.5649195548142592e-06,26368,256
104,0.1092048602771456,1.5559881425875274e-06,26624,256
105,0.18984415765359586,1.5469959013633266e-06,26880,256
106,0.16626512245080605,1.5379440307101708e-06,27136,256
107,0.19697991379922541,1.5288337381511633e-06,27392,256
108,0.11930094321764173,1.5196662390029132e-06,27648,256
109,0.10283682989847875,1.51044275621341e-06,27904,256
110,0.14488416625408718,1.5011645201988846e-06,28160,256
111,0.11513120723554948,1.4918327686796672e-06,28416,256
112,0.11387120847015808,1.4824487465150797e-06,28672,256
113,0.15805005250069648,1.4730137055373672e-06,28928,256
114,0.10319833121222644,1.4635289043847053e-06,29184,256
115,0.190285557424704,1.4539956083332966e-06,29440,256
116,0.13779205099736647,1.4444150891285808e-06,29696,256
117,0.17354149311085898,1.4347886248155867e-06,29952,256
118,0.14452530672959485,1.4251174995684376e-06,30208,256
119,0.18079577679777614,1.4154030035190434e-06,30464,256
120,0.10287965634534713,1.405646432584995e-06,30720,256
121,0.10130273880566154,1.3958490882966915e-06,30976,256
122,0.19574083715453838,1.3860122776237113e-06,31232,256
123,0.16631507572821214,1.3761373128004657e-06,31488,256
124,0.12583848615886728,1.3662255111511431e-06,31744,256
125,0.1773309705946744,1.3562781949139807e-06,32000,256
126,0.1194395945284139,1.3462966910648748e-06,32256,256
127,0.15239904494913858,1.3362823311403614e-06,32512,256
128,0.11604063310523571,1.3262364510599927e-06,32768,256
