checkpoint,probabilities,benchmark,n,accuracy,ece15,brier_summed,nll,temperature
286,fitted,Financial PhraseBank,999,0.8398398398398398,0.02558967487954226,0.22063573710381326,0.36081932333046074,2.0659711424646567
Jev,native,Financial PhraseBank,999,0.7697697697697697,0.11299986855542413,0.33760086024193764,0.8510735372836535,
0,raw,RAGTruth,1500,0.6213333333333333,0.18356974132635304,0.5665710831668932,0.9243407705487563,1
0,fitted,RAGTruth,1500,0.6213333333333333,0.16677614962615753,0.5447766948788539,0.8279149184489952,1.273257865016053
50,raw,RAGTruth,1500,0.854,0.05246000977838973,0.22770298393020597,0.443416366512776,1
50,fitted,RAGTruth,1500,0.854,0.09327967248625543,0.24545098571818078,0.40518945682250757,2.3839924475693497
100,raw,RAGTruth,1500,0.888,0.02582758978916074,0.17345002760061334,0.29939779187695315,1
100,fitted,RAGTruth,1500,0.888,0.08730401018778386,0.1895505817767929,0.3284485681649666,2.0155883330892665
150,raw,RAGTruth,1500,0.8866666666666667,0.04883761131978545,0.17759071578364102,0.3176925109664577,1
150,fitted,RAGTruth,1500,0.8866666666666667,0.05624686790499083,0.1785703561090022,0.3046631840892508,2.178979953207672
200,raw,RAGTruth,1500,0.8893333333333333,0.0358698733721102,0.1697207937783494,0.2986316631709253,1
200,fitted,RAGTruth,1500,0.8893333333333333,0.07254481688390743,0.17919458577827488,0.30951965012522437,2.207568021892729
250,raw,RAGTruth,1500,0.876,0.02995777392482621,0.19002420916636792,0.3289500229917989,1
250,fitted,RAGTruth,1500,0.876,0.07779901737666087,0.20280780652097738,0.3444497011260501,2.000758882328426
286,raw,RAGTruth,1500,0.8786666666666667,0.03090760673540495,0.18463650780264937,0.3224847400037623,1
286,fitted,RAGTruth,1500,0.8786666666666667,0.07214603676269438,0.19511096044026455,0.33284950673950375,2.0659711424646567
Jev,native,RAGTruth,1500,0.7726666666666666,0.0771533333333333,0.33745373333333334,0.9345029555259393,
0,raw,JudgeBench,350,0.6914285714285714,0.060515077368199194,0.400282519279272,0.5978379138724493,1
0,fitted,JudgeBench,350,0.6914285714285714,0.03114479523920036,0.3935947305625992,0.5797142821704111,1.273257865016053
50,raw,JudgeBench,350,0.7742857142857142,0.0373996981082163,0.29311284412920235,0.44179438308003505,1
50,fitted,JudgeBench,350,0.7742857142857142,0.08943527424814295,0.31440842796641894,0.4752601670270416,2.3839924475693497
100,raw,JudgeBench,350,0.7742857142857142,0.04873001326104557,0.3001267240007883,0.4506954890497839,1
100,fitted,JudgeBench,350,0.7742857142857142,0.0700953438219388,0.3060505704740557,0.4670012656177286,2.0155883330892665
150,raw,JudgeBench,350,0.7857142857142857,0.07670100153434034,0.3188283577435975,0.4952824507280281,1
150,fitted,JudgeBench,350,0.7857142857142857,0.05501113877195161,0.3073292192424862,0.4667943464321545,2.178979953207672
200,raw,JudgeBench,350,0.7885714285714286,0.09211922183919768,0.3139948164498837,0.4931845028709938,1
200,fitted,JudgeBench,350,0.7885714285714286,0.08834975601743389,0.30480958852857004,0.4647788893640826,2.207568021892729
